epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3685,1.47702,2.78575,1.37692,0.00333,1,0.96997,0.5329,1.35331,3.1002,1.64895,0.00026,0.00026,0.00026
2,157.208,1.2231,1.72242,1.17933,0.00708,1,0.94908,0.54,1.13007,3.06318,1.38658,0.000534654,0.000534654,0.000534654
3,236.902,1.17064,1.48578,1.1573,0.32779,0.37931,0.31293,0.18457,1.36163,3.40441,1.5774,0.000803764,0.000803764,0.000803764
4,320.334,1.18612,1.37841,1.16049,0.91087,0.70519,0.90212,0.42394,1.66797,2.71681,1.96668,0.00106733,0.00106733,0.00106733
5,416.621,1.2032,1.49699,1.1803,0.46114,0.48276,0.4026,0.10424,2.4783,3.43046,4.50018,0.00132535,0.00132535,0.00132535
6,513.68,1.23166,1.4141,1.22633,0.53986,0.75862,0.63347,0.34212,1.5709,2.40101,1.97967,0.00157783,0.00157783,0.00157783
7,616.813,1.29963,1.35638,1.22371,0.41213,0.24177,0.23931,0.09291,1.8961,3.27222,2.18594,0.00182476,0.00182476,0.00182476
8,711.259,1.2563,1.28055,1.24381,0.64443,0.41379,0.49816,0.19003,1.71147,3.1248,1.92636,0.0018614,0.0018614,0.0018614
9,807.154,1.24272,1.23836,1.21581,0.84198,0.7931,0.86788,0.54261,1.28892,1.83867,1.60263,0.0018416,0.0018416,0.0018416
10,902.418,1.20933,1.19867,1.25384,0.80271,0.89655,0.91215,0.49327,1.55224,1.86973,1.84067,0.0018218,0.0018218,0.0018218
11,1002.03,1.14069,1.06214,1.16633,0.63515,0.96552,0.76439,0.31666,1.7226,2.5835,2.07846,0.001802,0.001802,0.001802
12,1113.19,1.22104,1.01803,1.24732,0.8903,0.93103,0.96841,0.65519,1.19828,1.51843,1.58255,0.0017822,0.0017822,0.0017822
13,1230.5,1.15345,0.98696,1.15222,0.86518,0.7931,0.92299,0.62467,1.23614,1.91792,1.59316,0.0017624,0.0017624,0.0017624
14,1343.81,1.17782,1.01559,1.16829,1,0.8925,0.96995,0.65309,1.149,1.2167,1.50014,0.0017426,0.0017426,0.0017426
15,1447.25,1.0769,0.90295,1.14199,0.96099,1,0.994,0.63949,1.21297,1.2643,1.48181,0.0017228,0.0017228,0.0017228
16,1550.31,1.07551,0.88212,1.16839,1,0.99226,0.995,0.64132,1.18397,1.20616,1.40767,0.001703,0.001703,0.001703
17,1654.54,1.08825,0.88008,1.14641,0.93526,0.99643,0.98863,0.70581,1.0837,1.00815,1.31168,0.0016832,0.0016832,0.0016832
18,1759.71,1.04192,0.82947,1.13114,0.93243,0.96552,0.98333,0.74756,0.93101,0.87225,1.1972,0.0016634,0.0016634,0.0016634
19,1864.58,1.04674,0.79591,1.18234,0.92979,1,0.98962,0.75123,0.93959,0.90946,1.17361,0.0016436,0.0016436,0.0016436
20,1970.38,0.96352,0.75592,1.08966,0.99374,1,0.995,0.7409,0.91788,0.7927,1.27043,0.0016238,0.0016238,0.0016238
21,2076.13,0.98438,0.74428,1.10515,1,0.99661,0.995,0.77773,0.88962,0.70085,1.22069,0.001604,0.001604,0.001604
22,2183.05,1.00215,0.70851,1.11092,0.99727,1,0.995,0.67551,1.12751,0.86389,1.32169,0.0015842,0.0015842,0.0015842
23,2295.27,1.06421,0.75178,1.15897,0.93005,0.96552,0.9867,0.69573,1.12186,0.8821,1.34557,0.0015644,0.0015644,0.0015644
24,2406.59,1.00178,0.73117,1.10984,0.90998,0.93103,0.9779,0.73054,0.96754,0.74128,1.2137,0.0015446,0.0015446,0.0015446
25,2520.36,1.10434,0.72007,1.15738,0.92642,0.86854,0.94561,0.66162,1.11702,0.98299,1.35715,0.0015248,0.0015248,0.0015248
26,2638.81,1.01182,0.71695,1.14157,0.9282,0.89169,0.96876,0.67914,1.11491,0.89031,1.35272,0.001505,0.001505,0.001505
27,2751.5,1.01543,0.704,1.1081,1,0.99047,0.995,0.71101,0.98401,0.74592,1.27392,0.0014852,0.0014852,0.0014852
28,2867.98,0.96149,0.64122,1.08699,1,0.99904,0.995,0.68429,1.09988,0.70745,1.28394,0.0014654,0.0014654,0.0014654
29,2981.81,1.02243,0.68741,1.11239,0.88241,1,0.9668,0.71267,0.95344,0.84401,1.25828,0.0014456,0.0014456,0.0014456
30,3098.02,1.02333,0.71526,1.14545,0.80103,0.72414,0.84612,0.48001,1.5891,1.14546,1.63488,0.0014258,0.0014258,0.0014258
31,3214.27,0.9378,0.66371,1.10834,0.99722,1,0.995,0.73553,0.93566,0.55335,1.21148,0.001406,0.001406,0.001406
32,3329.66,0.912,0.63712,1.07385,0.99769,1,0.995,0.7204,0.97853,0.55934,1.2093,0.0013862,0.0013862,0.0013862
33,3446.55,0.89625,0.58737,1.07717,0.99779,1,0.995,0.7115,0.98771,0.60629,1.19482,0.0013664,0.0013664,0.0013664
34,3565.78,0.959,0.63719,1.08892,0.99793,1,0.995,0.75146,0.89774,0.55779,1.12579,0.0013466,0.0013466,0.0013466
35,3686.64,0.94247,0.61804,1.09896,0.99569,1,0.995,0.71386,0.88561,0.58927,1.13234,0.0013268,0.0013268,0.0013268
36,3811.6,0.93584,0.61944,1.09828,0.99322,1,0.995,0.72095,0.92148,0.5591,1.16612,0.001307,0.001307,0.001307
37,3927.91,0.89587,0.60888,1.05205,0.96573,1,0.995,0.7586,0.88783,0.5451,1.15797,0.0012872,0.0012872,0.0012872
38,4043.24,0.93665,0.61155,1.083,0.99599,0.93103,0.99033,0.76671,0.87816,0.57115,1.154,0.0012674,0.0012674,0.0012674
39,4160.71,0.91004,0.64456,1.07725,0.96173,0.93103,0.93618,0.69507,0.98694,0.71331,1.20493,0.0012476,0.0012476,0.0012476
40,4287.18,0.93201,0.61176,1.06485,1,0.99914,0.995,0.74674,0.99425,0.55019,1.2099,0.0012278,0.0012278,0.0012278
41,4416.42,0.95631,0.59756,1.11518,0.98991,1,0.995,0.73971,0.96421,0.55045,1.18478,0.001208,0.001208,0.001208
42,4852.04,0.92322,0.58628,1.08003,0.99766,1,0.995,0.76338,0.94927,0.50806,1.18313,0.0011882,0.0011882,0.0011882
43,4929.22,0.85286,0.53475,1.03457,0.99784,1,0.995,0.77594,0.85537,0.49212,1.12537,0.0011684,0.0011684,0.0011684
44,5017.38,0.89966,0.58177,1.09747,0.99404,1,0.995,0.74602,0.89506,0.50459,1.18081,0.0011486,0.0011486,0.0011486
45,5140.65,0.89069,0.59109,1.08124,0.99336,1,0.995,0.74286,0.9122,0.48455,1.20232,0.0011288,0.0011288,0.0011288
46,5250.52,0.87145,0.55425,1.03063,0.99773,1,0.995,0.73474,0.9893,0.50762,1.2604,0.001109,0.001109,0.001109
47,5357.8,0.85705,0.54021,1.04078,0.991,1,0.995,0.75335,0.8885,0.54346,1.16497,0.0010892,0.0010892,0.0010892
48,5466.29,0.82552,0.52558,1.03515,0.97169,1,0.995,0.75571,0.84601,0.48154,1.15083,0.0010694,0.0010694,0.0010694
49,5574.96,0.85074,0.54077,1.02829,0.9979,1,0.995,0.79311,0.85455,0.45598,1.1298,0.0010496,0.0010496,0.0010496
50,5681.11,0.8697,0.54602,1.04542,0.99802,1,0.995,0.74731,0.87876,0.46786,1.18966,0.0010298,0.0010298,0.0010298
51,5784.52,0.80602,0.55223,1.04175,0.99792,1,0.995,0.78642,0.82581,0.42551,1.13381,0.00101,0.00101,0.00101
52,5889.88,0.82938,0.53172,1.05906,0.99795,1,0.995,0.77265,0.8329,0.43832,1.13608,0.0009902,0.0009902,0.0009902
53,5995.02,0.79304,0.52034,1.02341,0.99788,1,0.995,0.76711,0.9144,0.44477,1.21203,0.0009704,0.0009704,0.0009704
54,6102.23,0.74742,0.48306,1.01924,0.99857,1,0.995,0.73395,1.01891,0.48377,1.30495,0.0009506,0.0009506,0.0009506
55,6210.42,0.83134,0.51223,1.01693,0.99804,1,0.995,0.74405,0.99004,0.47198,1.28952,0.0009308,0.0009308,0.0009308
56,6317.84,0.80964,0.49204,1.0263,0.9977,1,0.995,0.77069,0.86605,0.41104,1.161,0.000911,0.000911,0.000911
57,6425.54,0.82128,0.51006,1.03247,0.99779,1,0.995,0.77505,0.94175,0.45403,1.17643,0.0008912,0.0008912,0.0008912
58,6533.69,0.86154,0.53733,1.03102,0.99801,1,0.995,0.74644,0.9012,0.42946,1.14126,0.0008714,0.0008714,0.0008714
59,6643.35,0.86228,0.49185,1.01863,0.99803,1,0.995,0.79697,0.84628,0.41891,1.10791,0.0008516,0.0008516,0.0008516
60,6751.65,0.78835,0.49696,1.01113,0.998,1,0.995,0.75137,0.9685,0.47224,1.2086,0.0008318,0.0008318,0.0008318
61,6858.94,0.80097,0.48189,1.02939,0.99798,1,0.995,0.80018,0.84818,0.43309,1.09023,0.000812,0.000812,0.000812
62,6967.19,0.79448,0.48298,1.01268,0.99799,1,0.995,0.7679,0.9434,0.41258,1.17416,0.0007922,0.0007922,0.0007922
63,7075.47,0.7387,0.47469,0.99328,0.99791,1,0.995,0.7802,0.85596,0.39362,1.11883,0.0007724,0.0007724,0.0007724
64,7185.06,0.79042,0.70763,1.01955,0.99803,1,0.995,0.78384,0.84914,0.42869,1.12739,0.0007526,0.0007526,0.0007526
65,7292.88,0.79542,0.48849,1.02609,0.99784,1,0.995,0.77712,0.84773,0.41032,1.16763,0.0007328,0.0007328,0.0007328
66,7404.35,0.75871,0.47104,0.99265,0.99787,1,0.995,0.76283,0.97001,0.45737,1.2499,0.000713,0.000713,0.000713
67,7517.27,0.77772,0.46696,1.0169,0.99795,1,0.995,0.78348,0.85303,0.4167,1.1556,0.0006932,0.0006932,0.0006932
68,7630.15,0.75898,0.46371,1.00341,0.99798,1,0.995,0.77151,0.90077,0.40799,1.17565,0.0006734,0.0006734,0.0006734
69,7742.78,0.73129,0.46526,0.98074,0.99767,1,0.995,0.77556,0.9244,0.42129,1.16776,0.0006536,0.0006536,0.0006536
70,7858.47,0.71925,0.43754,0.98378,0.99737,1,0.995,0.78224,0.85326,0.42202,1.12495,0.0006338,0.0006338,0.0006338
71,7974.45,0.70505,0.44873,0.9877,0.99784,1,0.995,0.7532,0.90223,0.40041,1.15699,0.000614,0.000614,0.000614
72,8089.4,0.6655,0.43337,0.94431,0.99793,1,0.995,0.75439,0.95946,0.4129,1.19292,0.0005942,0.0005942,0.0005942
73,8203.68,0.74601,0.45781,1.0252,0.99783,1,0.995,0.7739,0.88699,0.41564,1.13668,0.0005744,0.0005744,0.0005744
74,8319.62,0.69707,0.42276,0.9763,0.99757,1,0.995,0.75979,0.90425,0.42042,1.14349,0.0005546,0.0005546,0.0005546
75,8436.81,0.67096,0.42892,0.96154,0.9979,1,0.995,0.77435,0.8885,0.4131,1.13799,0.0005348,0.0005348,0.0005348
76,8552.47,0.69515,0.43269,0.97288,0.99794,1,0.995,0.80097,0.84028,0.38302,1.12676,0.000515,0.000515,0.000515
77,8668.76,0.71337,0.43277,0.99285,0.99793,1,0.995,0.8106,0.82556,0.37099,1.14091,0.0004952,0.0004952,0.0004952
78,8785.33,0.76294,0.46452,0.99263,0.99806,1,0.995,0.78929,0.84753,0.36776,1.14636,0.0004754,0.0004754,0.0004754
79,8904.89,0.67858,0.43146,0.95645,0.99805,1,0.995,0.78421,0.85534,0.36794,1.15805,0.0004556,0.0004556,0.0004556
80,9021.58,0.70506,0.41405,0.97826,0.99807,1,0.995,0.77667,0.84983,0.37765,1.13404,0.0004358,0.0004358,0.0004358
81,9137.92,0.68071,0.41244,0.96083,0.99807,1,0.995,0.78244,0.87716,0.37916,1.13952,0.000416,0.000416,0.000416
82,9250.66,0.68667,0.42485,0.96507,0.99796,1,0.995,0.79261,0.84968,0.37636,1.13571,0.0003962,0.0003962,0.0003962
83,9362.68,0.70909,0.42006,0.98076,0.99799,1,0.995,0.78555,0.86461,0.38926,1.13011,0.0003764,0.0003764,0.0003764
