epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0153,1.77203,4.45782,1.30176,0.00293,1,0.01326,0.00442,1.42705,4.55355,1.21499,0.00024,0.00024,0.00024
2,192.019,1.58029,2.95709,1.18848,0.00273,0.93103,0.0071,0.00342,1.58777,4.7793,1.28958,0.00049505,0.00049505,0.00049505
3,303.019,1.60255,2.50543,1.16038,0.00232,0.7931,0.00409,0.00229,1.58325,5.03798,1.24681,0.000744952,0.000744952,0.000744952
4,403.241,1.59364,2.48586,1.23546,0.00741,0.44828,0.11587,0.07095,1.8265,4.73479,1.23797,0.000989706,0.000989706,0.000989706
5,504.971,1.60905,2.22825,1.19333,0.00202,0.68966,0.00412,0.00232,2.13133,4.77497,1.38457,0.00122931,0.00122931,0.00122931
6,607.689,1.61928,2.30497,1.20592,0.68312,0.62069,0.61557,0.30878,1.79587,3.59724,1.29204,0.00146377,0.00146377,0.00146377
7,710.229,1.6597,2.19623,1.21827,0.04981,0.2069,0.03266,0.01687,1.64597,3.87119,1.26151,0.00169308,0.00169308,0.00169308
8,812.298,1.53944,1.95065,1.21157,0.2626,0.58621,0.18992,0.10753,1.56146,3.37805,1.38961,0.0018614,0.0018614,0.0018614
9,915.07,1.56073,1.93285,1.20568,0.7743,0.65517,0.73898,0.40972,1.4989,2.35697,1.59881,0.0018416,0.0018416,0.0018416
10,1017.49,1.63287,1.90037,1.25865,0.80264,0.68966,0.79668,0.41951,1.74928,2.03526,1.30914,0.0018218,0.0018218,0.0018218
11,1120.97,1.60192,1.71589,1.24525,0.45738,0.41379,0.38569,0.14315,1.72543,3.79472,1.58105,0.001802,0.001802,0.001802
12,1224.39,1.51768,1.62394,1.20283,0.96276,0.65517,0.7954,0.45561,1.49451,2.01454,1.26029,0.0017822,0.0017822,0.0017822
13,1327.76,1.47474,1.53241,1.17486,0.71702,0.86207,0.84538,0.40806,1.64103,1.85686,1.29831,0.0017624,0.0017624,0.0017624
14,1430.99,1.47722,1.42512,1.19253,0.7777,0.84472,0.88008,0.51496,1.54724,1.41898,1.38881,0.0017426,0.0017426,0.0017426
15,1535.94,1.39585,1.35885,1.14552,0.89199,0.8545,0.90415,0.5095,1.90658,1.62181,1.33973,0.0017228,0.0017228,0.0017228
16,1640.54,1.48084,1.28661,1.15258,0.79635,0.80933,0.87951,0.49611,1.83801,1.32312,1.34233,0.001703,0.001703,0.001703
17,1744.15,1.45856,1.22697,1.18894,0.74225,0.99317,0.91434,0.39869,2.03296,2.28635,1.67959,0.0016832,0.0016832,0.0016832
18,1848.05,1.36726,1.16742,1.11841,0.87009,0.92398,0.94664,0.52533,1.81005,1.37809,1.28051,0.0016634,0.0016634,0.0016634
19,1952.05,1.42694,1.157,1.14305,0.91977,0.89655,0.89454,0.49664,2.01746,1.23047,1.56475,0.0016436,0.0016436,0.0016436
20,2056.52,1.46235,1.16917,1.16469,0.87768,0.89655,0.91337,0.5674,1.47994,1.19747,1.25982,0.0016238,0.0016238,0.0016238
21,2160.73,1.4038,1.10474,1.13466,0.81165,0.89655,0.8763,0.38808,2.04605,1.54086,1.49232,0.001604,0.001604,0.001604
22,2265.54,1.45548,1.17308,1.16066,0.86077,0.86207,0.92958,0.53087,1.80517,1.43532,1.52392,0.0015842,0.0015842,0.0015842
23,2369.67,1.36095,1.08474,1.12969,0.96648,0.99451,0.99067,0.54025,1.74594,1.11782,1.37784,0.0015644,0.0015644,0.0015644
24,2474.51,1.41874,1.10009,1.18347,0.89391,0.89655,0.90931,0.50136,1.83957,1.28321,1.36995,0.0015446,0.0015446,0.0015446
25,2579.1,1.28418,0.97839,1.08023,0.85415,0.96552,0.95819,0.52328,1.5769,1.1058,1.32339,0.0015248,0.0015248,0.0015248
26,2685.05,1.32056,0.99166,1.09496,0.96312,0.96552,0.96269,0.5155,1.66104,1.20242,1.27007,0.001505,0.001505,0.001505
27,2789.83,1.3655,1.0597,1.12202,0.92909,0.90379,0.97327,0.52676,1.75249,1.28015,1.32433,0.0014852,0.0014852,0.0014852
28,2894.68,1.40201,1.09912,1.14199,0.88527,0.93103,0.93781,0.52252,1.39013,1.12958,1.13489,0.0014654,0.0014654,0.0014654
29,3000.71,1.39998,1.03006,1.16429,0.92464,0.96552,0.91593,0.5204,1.63836,1.11577,1.2043,0.0014456,0.0014456,0.0014456
30,3106.08,1.29506,0.9206,1.09759,0.9058,0.93103,0.93569,0.58671,1.62054,1.04739,1.20097,0.0014258,0.0014258,0.0014258
31,3211.65,1.34232,0.88408,1.08454,0.89874,0.91839,0.89438,0.49656,1.59304,1.00869,1.26698,0.001406,0.001406,0.001406
32,3317.81,1.27627,0.8929,1.09327,0.91961,0.89655,0.93598,0.51828,1.53699,0.97086,1.21451,0.0013862,0.0013862,0.0013862
33,3423.09,1.25925,0.90985,1.0407,0.91914,1,0.98006,0.56046,1.42848,0.92722,1.17828,0.0013664,0.0013664,0.0013664
